//X Y Z R G B Intensity
12.44449997 -9.30500031 -0.22025000 192 190 203 6646
12.47175026 -9.32674980 -0.30325001 128 133 137 10917
12.47175026 -9.32699966 -0.30125001 128 133 137 20896
12.47125053 -9.32649994 -0.30024999 128 133 137 23350
12.47074986 -9.32600021 -0.29925001 128 133 137 23267
12.47150040 -9.32674980 -0.29824999 171 174 181 22017
12.46975040 -9.32524967 -0.29624999 171 174 181 21650
12.47025013 -9.32575035 -0.29525000 171 174 181 20060
12.46899986 -9.32474995 -0.29425001 171 174 181 15217
12.46975040 -9.32524967 -0.29324999 171 174 181 10464
12.45975018 -9.31799984 -0.26925001 94 85 104 821
12.45724964 -9.31599998 -0.26100001 94 82 106 803
12.45625019 -9.31525040 -0.25900000 93 82 112 771
12.45574951 -9.31499958 -0.25600001 93 82 112 821
12.45174980 -9.31200027 -0.24400000 98 89 120 835
12.45050049 -9.31099987 -0.24175000 98 89 120 903
12.44874954 -9.30974960 -0.23375000 95 86 113 1185
12.44775009 -9.30900002 -0.23275000 102 97 119 1392
12.44775009 -9.30900002 -0.23175000 102 97 119 1621
12.44624996 -9.30774975 -0.22975001 102 97 119 5139
12.44624996 -9.30774975 -0.22775000 102 97 119 16321
12.44524956 -9.30700016 -0.22575000 153 150 167 24060
12.44524956 -9.30700016 -0.22475000 153 150 167 24603
12.44400024 -9.30624962 -0.22375000 153 150 167 24150
12.44425011 -9.30624962 -0.22175001 153 150 167 18696
12.44274998 -9.30525017 -0.22075000 153 150 167 12928
12.44274998 -9.30525017 -0.21975000 192 190 203 8185
12.44250011 -9.30500031 -0.21775000 192 190 203 2103
12.44174957 -9.30449963 -0.21675000 192 190 203 1110
12.47150040 -9.32800007 -0.30399999 128 133 137 11735
12.47150040 -9.32800007 -0.30300000 128 133 137 18328
12.47175026 -9.32800007 -0.30199999 128 133 137 21303
12.47150040 -9.32775021 -0.30100000 128 133 137 22092
12.47049999 -9.32724953 -0.30000001 128 133 137 23021
12.47025013 -9.32699966 -0.29899999 171 174 181 22542
12.47000027 -9.32674980 -0.29800001 171 174 181 22860
12.46975040 -9.32649994 -0.29675001 171 174 181 23264
12.46975040 -9.32649994 -0.29574999 171 174 181 23017
12.46949959 -9.32649994 -0.29475001 171 174 181 20310
12.46924973 -9.32600021 -0.29374999 171 174 181 16000
12.46749973 -9.32499981 -0.29175001 192 190 203 7535
12.46749973 -9.32474995 -0.29075000 192 190 203 4453
