//U V R G B Intensity
0.03341760 0.03837437 181 173 194 2007
0.03245341 0.03838078 181 173 194 1710
0.03010076 0.03845595 181 173 194 1478
0.02294393 0.03845618 167 164 185 1046
0.01999830 0.03857044 111 112 132 1017
0.02011371 0.03849000 111 112 132 1050
0.01411664 0.03860954 111 112 132 1153
0.01068372 0.03867209 76 81 100 1010
0.00936522 0.03863859 76 81 100 875
0.00813603 0.03872163 76 81 100 907
0.00604880 0.03872049 76 81 100 1000
0.00572083 0.03868289 76 81 100 1057
0.00342129 0.03876274 76 81 100 1010
0.00211206 0.03873911 71 76 98 1067
0.00170470 0.03869453 71 76 98 1039
0.00052857 0.03868231 71 76 98 989
-0.00107186 0.03873273 71 76 98 903
-0.00278836 0.03876417 71 76 98 1089
-0.00541588 0.03880642 75 74 106 1114
-0.00576037 0.03877642 75 74 106 1171
-0.01053809 0.03880316 75 74 106 1078
-0.01324501 0.03883842 68 67 101 1157
-0.01401432 0.03887108 68 67 101 1225
-0.01466044 0.03880546 68 67 101 1250
-0.01990569 0.03899990 68 67 101 1067
-0.02247042 0.03895708 72 71 102 1021
-0.02322221 0.03898215 72 71 102 1117
-0.02525674 0.03898536 72 71 102 1164
-0.02648597 0.03906841 72 71 102 1167
-0.02761933 0.03895118 72 71 102 1321
-0.02944145 0.03907299 72 71 102 1264
-0.02957404 0.03906168 102 102 128 1378
-0.03423576 0.03900774 102 102 128 1942
-0.03624400 0.03911319 102 102 128 2617
0.04347879 0.03729302 126 114 136 24721
0.04218719 0.03726153 126 114 136 25010
0.04122300 0.03726794 126 114 136 24721
0.03983448 0.03733699 126 114 136 22935
0.03887027 0.03734340 126 114 136 19492
0.03769366 0.03733114 181 173 194 14242
0.03667633 0.03733288 181 173 194 9857
0.03559664 0.03742000 181 173 194 6328
0.03445661 0.03742007 181 173 194 4289
0.03324385 0.03739581 181 173 194 2132
0.02730915 0.03742995 167 164 185 1203
0.02700798 0.03739466 167 164 185 1089
0.02546065 0.03744979 167 164 185 1103
0.02346936 0.03744797 167 164 185 1028
0.01455288 0.03758438 111 112 132 1153
0.01053674 0.03759602 76 81 100 925
0.00772403 0.03762227 76 81 100 1010
0.00752857 0.03759625 76 81 100 992
0.00429101 0.03768516 71 76 98 1021
0.00013319 0.03777485 71 76 98 982
-0.00087433 0.03778657 71 76 98 1046
-0.00296205 0.03778539 71 76 98 1085
-0.00382004 0.03780113 71 76 98 1078
-0.00582787 0.03780697 75 74 106 1260
-0.01013581 0.03789295 75 74 106 1096
-0.01029471 0.03777927 75 74 106 1096
-0.01219674 0.03789412 75 74 106 1107
-0.01611602 0.03790543 68 67 101 1171
-0.01889308 0.03794365 68 67 101 1107
-0.02317420 0.03793199 72 71 102 1164
-0.02375740 0.03798100 72 71 102 1171
-0.02671282 0.03798524 72 71 102 1128
-0.02762395 0.03799632 72 71 102 1310
-0.02920744 0.03803945 72 71 102 1364
-0.03087084 0.03797564 102 102 128 1589
-0.03170254 0.03799370 102 102 128 1539
-0.03422385 0.03804521 102 102 128 1982
-0.03782282 0.03811146 102 102 128 8521
-0.03854832 0.03813885 147 148 166 13000
-0.03935372 0.03805922 147 148 166 17167
-0.04015860 0.03807964 147 148 166 17664
0.04396092 0.03629006 126 114 136 26482
0.04273168 0.03637316 126 114 136 26314
0.04150248 0.03635628 126 114 136 26978
0.04058160 0.03635738 126 114 136 26392
0.03919305 0.03642648 126 114 136 25450
0.03817575 0.03642822 126 114 136 22396
0.03726464 0.03643930 181 173 194 18017
0.03606173 0.03642473 181 173 194 12935
0.03502791 0.03643413 181 173 194 8610
0.03393121 0.03642890 181 173 194 5114
0.03347071 0.03637959 181 173 194 3360
0.03240030 0.03647666 181 173 194 2457
0.03132988 0.03647373 181 173 194 1928
0.02842035 0.03650029 167 164 185 1439
0.02588967 0.03654221 167 164 185 1214
0.02071393 0.03663390 111 112 132 1017
0.01699949 0.03668088 111 112 132 1039
0.01628378 0.03661826 111 112 132 1067
0.01619449 0.03660164 111 112 132 1060
0.01271833 0.03666922 111 112 132 925
0.00451790 0.03676887 76 81 100 1096
0.00038638 0.03686094 71 76 98 1021
-0.00009113 0.03681925 71 76 98 1003
-0.00124096 0.03680935 71 76 98 1032
-0.00260267 0.03688081 71 76 98 1057
-0.00562778 0.03688839 75 74 106 1239
-0.00684057 0.03686411 75 74 106 1253
-0.00916650 0.03684199 75 74 106 1164
-0.00968010 0.03688801 75 74 106 1075
